Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,16.163887880351027,14.061850930098686,14.780191390625003,4.020355412999957,-205.1539764404297,412.3079528808594,414.59842,207.09650304268857,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,9.207154991981515,7.8989825539539815,9.7677933474913,3.032610984601887,-184.61184692382812,371.22369384765625,373.51416,189.85103062230723,0.2813992199723804,0.0009217545798124167,0.0009483608635362384,0.0009217545798124167,0.0009483608635362384,0.41135089597569335
1,2,4,1,5,5,3.321580866963593,6.4712658826152385,2.1589239291196177e+21,0.7282236774669744,-272.54754638671875,547.0950927734375,549.38556,283.62998970982136,1.0195402420050368,0.13695507825385214,92.12426824548562,0.13695507825385214,92.12426824548562,16.886933763227145
1,3,5,1,5,5,0.6213084164769328,1.2697155061113918,17.103815407599775,0.7205401898613416,-86.83657836914062,175.67315673828125,177.96362,96.95554855894636,1.6763687855992842,0.01349584833880426,0.0412261531310423,0.02702207189570388,0.0825450943077971,3.4888922906041926
1,4,6,2,7,7,0.5488755233572699,1.899484365537367,2.1589239291700325e+21,0.7282236774669744,-81.7086181640625,167.417236328125,171.99815,97.29807735520741,0.12395591013600028,0.13695507825385236,92.1242682454856,0.13695507825385236,92.1242682454856,16.886933763227145
1,5,7,1,7,6,0.5113039536677155,1.5565957687287655,0.7459879245740602,0.7140454680028075,-79.09878540039062,160.19757080078125,162.48804,93.58571710247291,0.07090627184943492,15.665391341081733,1.5542524725023563e+75,15.665391341081733,1.5542524725023563e+75,2.6934602870660782e+29
1,6,8,1,8,5,0.5105778647957466,1.588948300194319,0.7336460295386275,0.7143303465729075,-79.04678344726562,160.09356689453125,162.38403,93.8652389665563,0.001422747764038746,15.368174507159575,1.5247639018733295e+75,15.368174507159575,1.5247639018733295e+75,2.6905642401264765e+29
1,7,9,2,9,7,0.5101776079503991,1.584524825069246,0.735023557978837,0.7141865205053478,-79.01814270019531,162.03628540039062,166.6172,98.47400049714803,0.0007842236747133182,15.404765783205733,1.5283943302506663e+75,15.404765783205733,1.5283943302506663e+75,2.6909249601687057e+29
1,8,12,2,15,8,0.5096844332258874,1.5846657069387706,0.7458614807413861,0.7139215701093607,-78.98284149169922,161.96568298339844,166.5466,112.1169624388213,0.0003221679060524066,0.23038412054692659,1.2017508161566461,0.23038412054692659,1.2017508161566461,3.4788901288065555
1,9,15,3,14,9,0.5096780441652569,1.5878596975344579,0.8832243163231733,0.7139173836883982,-78.98239135742188,163.96478271484375,170.83617,111.68603264326622,4.13984242532167e-06,0.20243051065188167,1.146719925671247,0.20243051065188167,1.146719925671247,3.329169694108372
