Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,0,1,1,16.50528255777864,13.089856425920146,29.46462435963484,4.0447461555969495,-414.6573791503906,829.3147583007812,829.31476,416.956480449814,0.0,0.0008861105154716,0.0013727376188964,0.0008861105154716,0.0013727376188964,0.9757868222658594
1,1,3,1,4,4,11.137614926589016,6.892321886701513,14.276639369627066,3.3371902727031,-385.74310302734375,773.4862060546875,776.4766,393.5808164534677,0.1966761360417568,0.0085632615276648,0.0110040812941802,0.0085632615276648,0.0110040812941802,1.557382141956265
1,2,5,1,6,6,8.50576130473059,6.719644286110709,16.46563854205786,2.872849410917324,-365.96234130859375,733.9246826171875,736.9151,379.0278160111749,0.1347922097986149,0.0043748261150294,0.0055855510617742,0.0087496522300589,0.0111711021235485,1.1339002594220635
1,3,6,1,7,7,8.324528938586408,5.971136928207853,15.332833167123203,2.838139399945113,-364.3858642578125,730.771728515625,733.76215,380.3242021429884,0.0215370006801623,0.0026493942579056,0.0027435538241641,0.0052979649281057,0.005485372661893,1.0380001368906189
1,4,7,1,7,7,7.244463489729211,6.454015167677085,15.016053914465123,2.6570025405808773,-354.1561584472656,710.3123168945312,713.30273,370.0892705172154,0.1389690517493992,0.003197271093918,0.0041645192398015,0.009591813281754,0.0124935577194047,1.0252984042705595
1,5,8,1,9,8,7.239074167668663,4.665617321569218,14.681124910992857,2.646997010121189,-354.1163024902344,710.2326049804688,713.223,375.1480461421392,0.0007442103894498,0.003217430567951,0.0040737714833259,0.009652291703853,0.0122213144499778,1.0122903153660183
1,6,9,1,10,8,6.598145144677445,4.58424092106464,11.59332880730974,2.542187540128185,-347.27886962890625,696.5577392578125,699.54816,370.3812434834883,0.0927048868829863,0.0017627010589147,0.002052241462918,0.0070508042356591,0.0082089658516721,0.8956574450197843
1,7,10,1,11,9,6.045696038790387,4.727096961082463,12.65492177522426,2.424450381790026,-340.8653259277344,683.7306518554688,686.72107,367.3482370816812,0.0874418853838201,0.002623613188887,0.0033859425114585,0.0104944527555481,0.013543770045834,0.8402897597757193
1,8,11,0,12,7,5.804597269524194,4.504053104038573,13.380889710899057,2.3809584771748624,-337.865478515625,675.73095703125,675.73096,363.5265138253544,0.0406965770752292,0.00142800394523,0.0017204344260654,0.0071400197261502,0.0086021721303272,0.9465487890225436
1,9,13,1,14,9,4.99320487109312,3.679845970546298,11.80882354995702,2.1981228404669766,-326.8178405761719,655.6356811523438,658.6261,359.89592319415243,0.0752860892075483,0.0020228390701102,0.0024338915557918,0.0101141953505511,0.012169457778959,0.9431783734224288
1,10,15,1,16,10,4.3147927625234255,3.6446842274705857,10.4457528141161,2.031181333132665,-316.1195068359375,634.239013671875,637.22943,355.28659710111145,0.0730142784262921,0.0018636406114101,0.0022747086359358,0.0111818436684611,0.0136482518156153,0.9582524475514752
1,11,17,2,18,11,4.157940351848098,3.826793397795948,10.885958459678807,2.034373345469972,-313.32373046875,630.6474609375,636.6283,358.78180835911314,0.0185146396113006,0.0018375961069171,0.0022432185149824,0.011025576641503,0.0134593110898946,0.9573857766279924
1,12,18,1,20,10,4.033698106117063,3.552239324762595,7.428283940322431,2.007647205731048,-311.0932312011719,624.1864624023438,627.1769,359.4379840187557,0.0303363501544849,0.002434590309135,0.0027251767707105,0.0121723833563882,0.013625490977876,0.8887672483292638
1,13,20,0,22,9,3.744141243586188,3.847001797011548,9.54078295323976,1.931719620086795,-305.6185302734375,611.237060546875,611.23706,356.25248088812333,0.0372458052442654,0.0019280310096529,0.0024195019229562,0.0115678971730808,0.0145167444091437,0.9651914150283534
1,14,22,2,27,14,3.337840479872461,4.063094923041829,7.896751754657279,1.8265193808914688,-297.17529296875,598.3505859375,604.3314,370.7226991948031,0.05743411006608,0.0023352673184268,0.0026120430975648,0.0140105566972728,0.0156713565281562,0.9524079340017624
1,15,23,2,26,12,3.3153195110803853,3.880179439669651,8.01640706266584,1.8205052907776635,-296.6776733398437,597.3553466796875,603.3362,363.5779743451427,0.0067698016238037,0.0021369217725718,0.0025329083941938,0.0128211095790643,0.0151970610190271,0.978975365256801
1,16,24,3,26,13,3.312063948398257,3.898173275017335,8.042270442988439,1.819903863014426,-296.60546875,599.2109375,608.18225,365.5866389056821,0.00098268052854,0.0021483504061232,0.0025506133135404,0.0128896813803728,0.0153032905351067,0.9791372798455704
1,17,26,3,30,15,3.306753138848844,3.5082505103591743,9.415724039235696,1.818251467421092,-296.4875183105469,598.9750366210938,607.94635,380.0216702352034,0.0008022432194326,0.0028350672477519,0.0034132620971018,0.0170035009763769,0.0204681256963305,0.9651889108190176
1,18,27,3,33,15,3.055973227105226,3.712263873771877,7.99624039378768,1.7445391549939333,-290.6912841796875,587.382568359375,596.3539,382.3525092970848,0.0788688864189574,0.0028020402324573,0.0029259447797404,0.0168074893784627,0.0175518739227459,1.018041421233059
1,19,28,4,31,15,2.973143349963578,3.6926766499075794,8.270085022765517,1.7219253768575398,-288.6712951660156,585.3425903320312,597.3043,374.915384052916,0.027478427399206,0.0027942823992022,0.0031370731258697,0.0167617355954368,0.0188181082540401,0.9612984744996902
